lc,CNTL,int,local,Holds the new location counter when using jump.,0-1023
data,CNTL.dumpStack,int[],local,Holds all items in the data stack used for printing to the screen.,valid array of 16 bit integers
test,CNTL.dumpStack,int[],local,Holds all items in the test stack used for printing to the screen,valid array of 16 bit integers
