allLines,IntermediateFile,"Dictionary<int, IntermediateLine>",member,all the lines of the source in intermediate version,valid integer to IntermediateLine mapping
TotalLines,IntermediateFile,int,member,the total line count of this source,any valid integer
output,IntermediateFile.ToString,string,local,the entire source code in intermediate version as it will be output to the screen,text following representation
