startLC,DirectiveParser.ParseStart,int,local,starting location counter to compare
startOper,DirectiveParser.ParseStart,string,local,operand of starting LC
equSym,DirectiveParser.ParseEqu,Symbol,local,symbol in use for storing equated symbols
datSym,DirectiveParser.ParseDat,Symbol,local,symbol to store data
adcSym,DirectiveParser.ParseAdc,Symbol,local,symbol to store ADC information
